species,S001,S002,S003,S004,S005,S007,S008,S009,S010,S011,S012,S013,S014,S015,S016,S017,S018,S019,S020,S021,S022
Al2O3,0.08,0.10,0.02,1.02,0.03,0.41,0.64,0.00,1.00,0.19,1.56,0.50,0.94,0.00,0.65,1.40,0.56,1.39,0.20,0.70,1.24
Ca,0.00,0.17,0.04,0.04,0.06,0.00,0.00,0.00,0.20,0.00,0.15,0.00,0.09,0.00,0.00,0.03,0.04,0.41,0.08,0.36,0.14
Fe,0.00,0.14,0.17,0.02,0.00,0.00,0.21,0.00,0.36,0.00,0.25,0.00,0.21,0.00,0.00,0.03,0.00,0.06,0.06,0.05,0.00
K,0.02,0.05,0.08,0.09,0.11,0.09,0.39,0.06,0.58,0.14,0.40,0.12,0.23,0.05,0.11,0.10,0.10,0.20,0.18,0.34,0.08
Na,0.00,0.00,0.00,0.58,0.61,2.79,3.48,0.00,0.00,0.00,0.05,0.00,0.00,0.00,1.73,0.00,0.00,0.63,0.00,0.00,0.00
Mg,0.00,0.03,0.02,0.01,0.02,0.00,0.00,0.00,0.07,0.00,0.08,0.00,0.00,0.00,0.00,0.01,0.00,0.04,0.00,0.04,0.02
P,0.00,0.00,0.02,0.01,0.02,0.02,0.04,0.00,0.05,0.01,0.05,0.00,0.01,0.00,0.02,0.00,0.01,0.03,0.03,0.02,0.00
S,0.09,0.65,0.69,1.29,1.27,2.84,7.30,0.92,4.75,1.48,5.86,0.36,0.77,0.12,1.39,0.90,0.82,0.79,0.95,1.11,0.06
Li,0.00,0.00,0.00,0.48,0.00,0.00,1.11,0.00,1.08,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.50,0.00,0.00
Be,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
B,15.14,6.57,13.29,3.93,12.57,0.00,0.00,3.34,3.11,21.00,7.00,23.96,29.06,15.06,14.66,16.73,33.40,11.74,14.48,23.33,28.71
Sc,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Ti,0.00,0.00,1.61,0.00,0.00,0.00,8.18,0.00,16.51,0.73,6.82,0.00,3.04,0.00,0.00,0.00,0.00,7.13,6.96,5.50,0.00
V,0.00,0.21,1.02,0.34,0.74,0.80,1.31,0.29,2.90,0.59,2.94,0.00,5.21,0.00,0.30,0.09,0.00,0.31,2.24,0.69,0.00
Cr,0.17,28.93,46.68,5.13,9.45,0.00,14.71,0.00,12.87,5.11,22.67,5.93,12.49,0.00,5.36,16.79,3.18,14.30,3.29,8.65,4.58
Mn,0.00,2.87,1.64,0.74,2.20,0.00,21.27,0.00,27.78,0.78,9.74,0.00,7.34,0.00,1.38,0.86,0.00,5.10,4.89,6.07,0.00
Co,0.00,0.48,0.51,0.00,0.00,0.00,0.00,0.00,0.50,0.00,0.50,0.00,0.00,0.00,0.00,0.00,0.00,0.58,0.00,0.57,0.00
Ni,20.89,19.62,24.93,18.49,21.05,32.62,17.62,18.50,21.29,15.18,23.58,17.88,26.29,14.85,16.82,27.57,17.71,29.41,17.64,30.71,21.09
Cu,12.18,1.19,1.29,2.57,1.91,2.28,11.78,0.00,15.01,1.72,4.33,1.62,5.03,0.00,0.90,4.87,1.98,0.89,7.10,3.14,1.47
Zn,33.64,51.16,17.33,33.82,21.88,27.69,47.84,10.10,82.82,45.44,56.31,29.42,25.96,3.24,20.64,15.20,24.96,31.67,32.69,49.27,27.47
Ga,0.00,0.07,0.09,0.13,0.17,0.08,0.40,0.00,0.91,0.03,0.63,0.00,0.02,0.00,0.00,0.02,0.02,0.08,0.00,0.11,0.04
Ge,0.00,0.27,0.61,0.00,0.48,0.00,0.00,0.00,0.00,0.00,0.98,0.00,0.00,0.00,0.00,0.69,0.00,0.00,0.00,0.00,0.00
As,0.53,0.66,0.67,1.08,0.97,1.08,2.73,0.94,5.30,1.38,4.67,0.84,1.03,0.00,0.80,0.84,0.60,0.91,1.00,2.04,0.00
Se,0.00,0.00,0.00,0.99,0.60,0.00,1.78,0.00,2.60,0.45,1.84,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.21,0.67,0.00
Rb,0.00,0.00,0.00,0.48,0.50,0.50,1.85,0.50,2.53,0.58,1.49,0.00,0.54,0.00,0.46,0.00,0.00,0.62,0.61,1.21,0.00
Sr,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00,1.96,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Y,0.00,0.18,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.61,0.00,0.00,0.00,0.00,0.46,0.00,0.14,0.00,0.00,0.53
Zr,0.00,0.00,0.00,18.27,27.48,56.20,54.38,35.30,62.58,17.93,73.60,10.63,1.11,0.00,19.04,0.00,0.00,20.95,0.00,0.00,11.67
Nb,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.44,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Mo,0.00,2.44,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9.60,0.00,1.25,0.00,0.00,5.78
Cd,0.00,0.48,0.60,0.54,0.58,0.55,0.76,0.00,1.15,0.82,1.07,0.00,0.00,0.00,0.50,0.57,0.45,0.67,0.66,0.70,0.00
Sn,0.06,0.30,0.29,3.14,0.93,0.87,8.05,0.55,8.18,1.58,2.01,0.25,0.74,0.23,0.72,0.62,0.78,0.82,4.42,0.74,0.39
Sb,0.00,0.91,0.56,1.36,0.79,0.57,3.88,0.65,3.22,2.89,1.83,0.69,1.35,0.00,0.82,0.63,0.57,0.58,1.83,0.96,0.55
Cs,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Ba,0.00,7.73,5.14,5.38,7.29,5.14,32.27,0.00,14.16,0.00,19.51,8.19,19.00,0.00,0.00,0.00,10.18,10.11,5.42,0.00,14.00
La,0.00,0.21,0.00,0.18,0.00,0.00,0.00,0.00,0.12,0.00,0.16,0.00,0.00,2.85,0.00,0.05,0.54,0.13,0.00,0.00,0.37
Ce,0.00,0.52,0.16,0.87,0.08,0.00,0.00,0.00,0.25,0.00,0.45,0.00,0.03,2.41,0.00,0.47,0.88,0.42,0.00,0.00,0.82
Pr,0.00,0.02,0.00,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.00,0.00,0.15,0.00,0.04,0.04,0.03,0.00,0.00,0.07
Nd,0.00,0.00,0.02,0.03,0.00,0.00,0.00,0.00,0.02,0.00,0.18,0.00,0.00,0.00,0.00,0.03,0.00,0.00,0.00,0.00,0.14
Sm,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Eu,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Gd,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.08,0.00,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.00
Tb,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01
Dy,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.00,0.00,0.00,0.00,0.04,0.00,0.00,0.00,0.00,0.00
Ho,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Er,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.03
Tm,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Yb,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Lu,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Hf,0.00,0.00,0.03,0.68,1.05,2.38,2.25,1.38,2.64,0.64,3.14,0.36,0.00,0.00,0.66,0.00,0.00,0.73,0.00,0.00,0.28
Ta,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
W,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Tl,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Pb,0.00,7.26,2.13,6.18,5.76,7.26,22.40,3.67,38.04,24.91,32.84,1.57,3.45,0.00,4.90,4.48,1.56,3.94,5.20,17.27,0.45
Bi,0.00,0.00,0.00,0.00,0.00,0.00,0.69,0.00,1.15,0.00,0.67,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Th,0.00,0.36,0.42,0.08,0.23,0.00,0.00,0.00,0.17,0.00,0.58,0.00,0.18,0.00,0.00,0.55,0.06,0.39,0.00,0.00,0.52
U,0.00,0.32,0.16,0.03,0.08,0.00,0.00,0.00,0.00,0.00,0.35,0.00,0.06,0.00,0.00,0.38,0.00,0.26,0.00,0.00,0.28
